1,Keely HODGKINSON,03 MAR 2002,GBR,1420,800m [800m ind.]
2,Mary MORAA,15 JUN 2000,KEN,1417,800m
3,Natoya GOULE,30 MAR 1991,JAM,1388,800m [800m ind.]
4,Athing MU,08 JUN 2002,USA,1385,800m [600m]
5,Ajee WILSON,08 MAY 1994,USA,1373,800m [800m ind.]
6,Diribe WELTEJI,13 MAY 2002,ETH,1352,800m
7,Rénelle LAMOTE,26 DEC 1993,FRA,1351,800m
8,Sage HURTA-KLECKER,23 JUN 1998,USA,1343,800m
9,Raevyn ROGERS,07 SEP 1996,USA,1333,800m
10,Halimah NAKAAYI,16 OCT 1994,UGA,1331,800m [800m ind.]
11,Anita HORVAT,07 SEP 1996,SLO,1316,800m
12,Allie WILSON,31 MAR 1996,USA,1313,800m
13,Catriona BISSET,01 MAR 1994,AUS,1309,800m [800m ind.]
14,Jemma REEKIE,06 MAR 1998,GBR,1299,800m
15,Elena BELLÒ,18 JAN 1997,ITA,1298,800m
16,Prudence SEKGODISO,05 JAN 2002,RSA,1296,800m
17,Olivia BAKER,12 JUN 1996,USA,1281,800m [800m ind.]
18,Lore HOFFMANN,25 JUL 1996,SUI,1279,800m [800m ind.]
19,Adelle TRACEY,27 MAY 1993,JAM,1271,800m [800m ind.]
20,Christina HERING,09 OCT 1994,GER,1268,800m [800m ind.]
21,Freweyni HAILU,12 FEB 2001,ETH,1262,800m [800m ind.]
22,Anna WIELGOSZ,09 NOV 1993,POL,1261,800m
23,Lindsey BUTTERWORTH,27 SEP 1992,CAN,1255,800m [800m ind.]
24,Alexandra BELL,04 NOV 1992,GBR,1248,800m
25,Noélie YARIGO,26 DEC 1985,BEN,1242,800m [800m ind.]
26,Nia AKINS,07 JUL 1998,USA,1236,800m [600m]
27,Jarinter Mawia MWASYA,30 DEC 1996,KEN,1233,800m
28,Brooke FELDMEIER,26 JAN 1996,USA,1226,800m [800m ind.]
29,Chrisann GORDON-POWELL,18 SEP 1994,JAM,1224,800m
30,Audrey WERRO,27 MAR 2004,SUI,1220,800m
31,Bianka KÉRI,19 APR 1994,HUN,1219,800m
32,Louise SHANAHAN,26 JAN 1997,IRL,1217,800m [800m ind.]
33,Ellie BAKER,03 JUN 1998,GBR,1216,800m
34,Katharina TROST,28 JUN 1995,GER,1214,"800m [800m ind.,1000m ind.]"
35,Agnès RAHAROLAHY,07 NOV 1992,FRA,1214,800m
36,Madeleine KELLY,28 DEC 1995,CAN,1211,800m [800m ind.]
37,Isabelle BOFFEY,13 APR 2000,GBR,1210,"800m [800m ind.,1000m ind.]"
38,Hedda HYNNE,13 MAR 1990,NOR,1208,800m [800m ind.]
39,Naomi KORIR,01 SEP 1998,KEN,1206,800m [800m ind.]
40,Brenna DETRA,13 AUG 1995,USA,1206,800m
41,Jenny SELMAN,09 MAR 1991,GBR,1204,800m [800m ind.]
42,Majtie KOLBERG,05 DEC 1999,GER,1204,800m [800m ind.]
43,Adrianna CZAPLA,04 JUL 1999,POL,1203,800m
44,Roisin WILLIS,06 AUG 2004,USA,1202,800m [800m ind.]
45,Angelika SARNA,01 OCT 1997,POL,1202,800m
46,Samantha WATSON,10 NOV 1999,USA,1201,800m [800m ind.]
47,Emily BROOKS-RICHARDS,21 JUL 1995,USA,1201,800m [800m ind.]
48,Sadi HENDERSON,12 APR 1996,USA,1200,800m [800m ind.]
49,Jazz SHUKLA,24 AUG 1998,CAN,1199,800m
50,Vivian Chebet KIPROTICH,07 JAN 1996,KEN,1199,800m
51,Rose Mary ALMANZA,13 JUL 1992,CUB,1197,800m
52,Olha LYAKHOVA,18 MAR 1992,UKR,1195,800m
53,Worknesh MESELE,11 JUN 2001,ETH,1191,800m [800m ind.]
54,Tess KIRSOPP-COLE,02 DEC 1999,AUS,1190,800m
55,Eloisa COIRO,01 DEC 2000,ITA,1189,800m
56,Déborah RODRÍGUEZ,02 DEC 1992,URU,1187,800m
57,Juliette WHITTAKER,01 DEC 2003,USA,1187,800m
58,Sara KUIVISTO,17 AUG 1991,FIN,1186,800m [800m ind.]
59,Cinthia ANAIS,18 JAN 1988,FRA,1186,800m [800m ind.]
60,Eveliina MÄÄTTÄNEN,01 SEP 1995,FIN,1186,800m
61,Sabrina SOUTHERLAND,18 DEC 1995,USA,1180,800m
62,Gabriela GAJANOVÁ,12 OCT 1999,SVK,1178,800m [600m]
63,Assia RAZIKI,04 OCT 1996,MAR,1177,800m [600m]
64,Ekaterina GULIYEV,01 MAR 1991,TUR,1173,800m
65,Claudia Mihaela BOBOCEA,11 JUN 1992,ROU,1172,800m
66,Kristie SCHOFFIELD,05 APR 1999,USA,1171,800m
67,Charlene LIPSEY,16 JUL 1991,USA,1171,800m [800m ind.]
68,Jerneja SMONKAR,27 JAN 1992,SLO,1170,800m [800m ind.]
69,Michaela MEYER,04 JUL 1998,USA,1168,800m [800m ind.]
70,Lucia PINACCHIO,29 NOV 2002,ESP,1166,800m [800m ind.]
71,Sahily DIAGO MESA,26 AUG 1995,CUB,1166,800m
72,Addy TOWNSEND,14 DEC 1997,CAN,1165,800m [800m ind.]
73,Anna CAMP BENNETT,1998,USA,1164,800m
74,Margarita KOCZANOWA,01 FEB 1999,POL,1164,800m
75,Soukaina HAJJI,04 FEB 1997,MAR,1163,800m
76,KM. CHANDA,16 AUG 2001,IND,1163,800m
77,Bendere OBOYA,17 APR 2000,AUS,1163,800m
78,Laurie BARTON,13 FEB 1998,USA,1162,800m
79,Veronika SADEK,21 JAN 2003,SLO,1161,800m
80,Claudia HOLLINGSWORTH,12 APR 2005,AUS,1160,800m
81,Aleksandra GULYAYEVA,30 APR 1994,RUS,1157,800m
82,Gabija GALVYDYTĖ,17 JAN 2000,LTU,1157,800m [800m ind.]
83,Hanna GREEN,16 OCT 1994,USA,1157,800m
84,Marina MARTÍNEZ,13 JAN 2002,ESP,1157,800m
85,Lovisa LINDH,09 JUL 1991,SWE,1156,800m [600m]
86,Ellie SANFORD,13 NOV 1997,AUS,1156,800m
87,McKenna KEEGAN,31 AUG 1998,USA,1153,800m [800m ind.]
88,Mariela Luisa REAL,22 MAR 1993,MEX,1152,800m
89,Shafiqua MALONEY,27 FEB 1999,VIN,1152,800m [800m ind.]
90,Vanessa SCAUNET,09 JUL 1996,BEL,1152,800m [800m ind.]
91,Léna KANDISSOUNON,26 NOV 1998,FRA,1152,800m
92,Imogen BARRETT,08 NOV 1999,AUS,1151,800m
93,Abbey CALDWELL,03 JUL 2001,AUS,1149,800m
94,Olga RODIOSHKINA,10 FEB 2001,RUS,1149,"800m [800m ind.,1000m ind.]"
95,Federica DEL BUONO,12 DEC 1994,ITA,1148,800m [1000m ind.]
96,Gayanthika ARTIGALA,23 DEC 1986,SRI,1146,800m
97,Patricia SILVA,09 DEC 1999,POR,1146,800m
98,Hanna HERMANSSON,18 MAY 1989,SWE,1145,800m [800m ind.]
99,Wilma NIELSEN,02 JUN 2001,SWE,1143,800m
100,Tanja SPILL,16 DEC 1995,GER,1142,800m [800m ind.]
